Time,Velocity,Displacement
50.88,-0.0016479288479550006,-0.06400907830715011
50.885,-0.0012787546361254431,-0.06401547208033073
50.89,-0.001234782441474393,-0.0640216459925381
50.895,-0.0010174552299823613,-0.06402673326868802
50.9,-0.0009842739711686194,-0.06403165463854385
50.905,-0.0010491268587420474,-0.06403690027283757
50.91,-0.0006604423610332197,-0.06404020248464273
50.915,-0.0010250274696324412,-0.06404532762199089
50.92,-0.0011588799554396207,-0.06405112202176809
50.925,-0.0011954000849116503,-0.06405709902219266
50.93,-0.0013915535087688164,-0.0640640567897365
50.935,-0.0015986585026404035,-0.0640720500822497
50.94,-0.0013749424415614264,-0.06407892479445751
50.945,-0.0016482258506701549,-0.06408716592371086
50.95,-0.0015461618952294475,-0.06409489673318701
50.955,-0.0013815053642094088,-0.06410180426000806
50.96,-0.0011413573577259012,-0.06410751104679668
50.965,-0.0008549676477618738,-0.0641117858850355
50.97,-0.0004956371478658079,-0.06411426407077482
50.975,-2.8513268794530202e-05,-0.0641144066371188
50.98,0.0004746072135047041,-0.06411203360105128
50.985,0.0008841610303790726,-0.06410761279589938
50.99,0.001266704183524305,-0.06410127927498176
50.995,0.0015743212447145397,-0.06409340766875818
51.0,0.001746919345493651,-0.06408467307203072
51.005,0.0016572242629360908,-0.06407638695071603
51.01,0.00144720438491404,-0.06406915092879147
51.015,0.0012002227389128137,-0.0640631498150969
51.02,0.0006461204096864546,-0.06405991921304847
51.025,1.9239954778304263e-05,-0.06405982301327458
51.03,-0.0005563218562807752,-0.06406260462255599
51.035,-0.0010860259964767317,-0.06406803475253837
51.04,-0.0019226592832704838,-0.06407764804895472
51.045,-0.0023408016235037937,-0.06408935205707224
51.05,-0.0026130937273827833,-0.06410241752570917
51.055,-0.0028047632052698125,-0.0641164413417355
51.06,-0.003070504857817602,-0.06413179386602459
51.065,-0.0028468962331192845,-0.06414602834719019
51.07,-0.0028336601495464425,-0.06416019664793791
51.075,-0.0026801016372942194,-0.06417359715612439
51.08,-0.002245622359554553,-0.06418482526792216
51.085,-0.00196050772491824,-0.06419462780654675
51.09,-0.0016751775706862555,-0.06420300369440018
51.095,-0.0012766266734519122,-0.06420938682776745
51.1,-0.0008157228189433351,-0.06421346544186216
51.105,-0.0003451168758386656,-0.06421519102624135
51.11,0.00021473803624488263,-0.06421411733606013
51.115,0.0006752402371902635,-0.06421074113487418
51.12,0.0011073523475704223,-0.06420520437313632
51.125,0.0014431254981291388,-0.06419798874564568
51.13,0.0016205075630788487,-0.06418988620783028
51.135,0.0015068036516928682,-0.06418235218957181
51.14,0.001325158726520323,-0.06417572639593921
51.145,0.0011277260610067107,-0.06417008776563418
51.15,0.0006844026786789474,-0.06416666575224078
51.155,9.460707767817038e-05,-0.0641661927168524
51.16,-0.001104496850013218,-0.06417171520110246
51.165,-0.0022628951877748035,-0.06418302967704133
51.17,-0.003299003709185229,-0.06419952469558726
51.175,-0.004298347857429737,-0.06422101643487442
51.18,-0.005879126945714334,-0.06425041206960298
51.185,-0.007110313360072914,-0.06428596363640335
51.19,-0.00853339037031241,-0.06432863058825491
51.195,-0.00925591228341526,-0.06437491014967199
51.2,-0.00996300642425124,-0.06442472518179324
51.205,-0.010433165683341213,-0.06447689101020995
51.21,-0.009202440892356693,-0.06452290321467173
51.215,-0.010095186457153285,-0.0645733791469575
51.22,-0.009265104858906713,-0.06461970467125204
51.225,-0.008892584668696203,-0.06466416759459552
51.23,-0.007952156296464523,-0.06470392837607784
51.235,-0.006836791500869755,-0.06473811233358219
51.24,-0.006456079711924332,-0.06477039273214182
51.245,-0.005652994090594883,-0.06479865770259478
51.25,-0.005022299468285833,-0.06482376919993621
51.255,-0.004275208467505632,-0.06484514524227375
51.26,-0.003936863225756628,-0.06486482955840253
51.265,-0.0036326740692891385,-0.06488299292874897
51.27,-0.00309138933293404,-0.06489844987541364
51.275,-0.003171208893343653,-0.06491430591988036
51.28,-0.0029169865159794873,-0.06492889085246026
51.285,-0.0030998792778673687,-0.06494439024884958
51.29,-0.0027577053350979278,-0.06495817877552508
51.295,-0.003302265425741671,-0.06497469010265379
51.3,-0.0034239906705050504,-0.06499181005600631
51.305,-0.0035859111321281494,-0.06500973961166695
51.31,-0.0039919171687271375,-0.0650296991975106
51.315,-0.00409144013579707,-0.06505015639818958
51.32,-0.004061127449362619,-0.0650704620354364
51.325,-0.004396202642160644,-0.0650924430486472
51.33,-0.00471033125015135,-0.06511599470489796
51.335,-0.004542051508874821,-0.06513870496244233
51.34,-0.004632257037304655,-0.06516186624762885
51.345,-0.004737192541431179,-0.065185552210336
51.35,-0.004299404418006579,-0.06520704923242604
51.355,-0.004652629251724318,-0.06523031237868465
51.36,-0.004390977123398654,-0.06525226726430165
51.365,-0.004366553991839292,-0.06527410003426085
