Idata,Qdata,Šp“xdata
28722         ,             19045         ,             23483
28642         ,             19577         ,             24047
28582         ,             20108         ,             24589
28548         ,             20592         ,             25062
28537         ,             21057         ,             25496
28553         ,             21483         ,             25870
28591         ,             21829         ,             26153
28646         ,             22123         ,             26375
28704         ,             22356         ,             26539
28763         ,             22525         ,             26646
28814         ,             22636         ,             26707
28843         ,             22710         ,             26751
28841         ,             22747         ,             26784
28800         ,             22759         ,             26822
28716         ,             22763         ,             26883
28595         ,             22769         ,             26970
28435         ,             22787         ,             27095
28243         ,             22833         ,             27268
28028         ,             22920         ,             27492
27794         ,             23041         ,             27761
27553         ,             23197         ,             28066
27309         ,             23385         ,             28402
27069         ,             23592         ,             28752
26839         ,             23825         ,             29117
26623         ,             24065         ,             29478
26424         ,             24303         ,             29824
26237         ,             24512         ,             30137
26059         ,             24667         ,             30400
25883         ,             24781         ,             30628
25704         ,             24814         ,             30793
25516         ,             24750         ,             30889
25307         ,             24580         ,             30916
25072         ,             24308         ,             30880
24798         ,             23897         ,             30758
24487         ,             23381         ,             30573
24133         ,             22755         ,             30322
23740         ,             22028         ,             30000
23301         ,             21224         ,             29630
22811         ,             20360         ,             29225
22275         ,             19459         ,             28798
21682         ,             18565         ,             28400
21039         ,             17697         ,             28048
20356         ,             16850         ,             27732
19630         ,             16034         ,             27470
18881         ,             15248         ,             27247
18123         ,             14488         ,             27048
17366         ,             13795         ,             26924
16620         ,             13112         ,             26790
15891         ,             12471         ,             26687
15196         ,             11881         ,             26614
14552         ,             11308         ,             26495
13977         ,             10786         ,             26360
13475         ,             10305         ,             26185
13066         ,             9868          ,             25943
12768         ,             9438          ,             25530
12582         ,             9027          ,             24960
12543         ,             8641          ,             24194
12627         ,             8271          ,             23258
12878         ,             7963          ,             22211
13299         ,             7690          ,             21027
13855         ,             7491          ,             19879
14574         ,             7361          ,             18758
15424         ,             7310          ,             17751
16399         ,             7356          ,             16911
17484         ,             7502          ,             16256
18660         ,             7753          ,             15794
19907         ,             8119          ,             15532
21205         ,             8567          ,             15399
22527         ,             9135          ,             15451
23860         ,             9777          ,             15597
25179         ,             10496         ,             15840
26468         ,             11278         ,             16155
27695         ,             12149         ,             16580
28851         ,             13036         ,             17021
29919         ,             13952         ,             17501
30876         ,             14867         ,             17998
31718         ,             15805         ,             18541
32430         ,             16705         ,             19077
32991         ,             17593         ,             19649
33421         ,             18421         ,             20204
33704         ,             19206         ,             20773
33839         ,             19945         ,             21361
33830         ,             20598         ,             21935
33683         ,             21214         ,             22542
33397         ,             21755         ,             23156
32985         ,             22238         ,             23791
32474         ,             22651         ,             24427
31858         ,             23035         ,             25108
31165         ,             23374         ,             25809
30413         ,             23683         ,             26536
29612         ,             23981         ,             27301
28782         ,             24261         ,             28090
27934         ,             24543         ,             28912
27085         ,             24813         ,             29745
26246         ,             25094         ,             30600
25426         ,             25396         ,             31476
24632         ,             25719         ,             32366
23875         ,             26076         ,             33266
23164         ,             26455         ,             34156
22505         ,             26866         ,             35034
21896         ,             27327         ,             35907
